"period","DE_tauc","DE_tauk","DE_taun","DE_tauwf","DE_tauwh","EA_tauc","EA_tauk","EA_taun","EA_tauwf","EA_tauwh","ES_tauc","ES_tauk","ES_taun","ES_tauwf","ES_tauwh","FR_tauc","FR_tauk","FR_taun","FR_tauwf","FR_tauwh","IT_tauc","IT_tauk","IT_taun","IT_tauwf","IT_tauwh"
1995,0.19,0.568,0.131,0.136,0.121,0.191,0.454,0.115,0.168,0.095,0.134,0.35,0.099,0.164,0.038,0.224,0.367,0.054,0.234,0.11,0.173,0.522,0.153,0.212,0.062
1996,0.185,0.567,0.12,0.138,0.124,0.19,0.455,0.112,0.175,0.096,0.136,0.35,0.1,0.164,0.038,0.23,0.367,0.057,0.233,0.11,0.17,0.532,0.153,0.25,0.064
1997,0.183,0.567,0.12,0.141,0.129,0.191,0.463,0.112,0.177,0.096,0.139,0.35,0.093,0.164,0.037,0.231,0.417,0.061,0.235,0.103,0.173,0.532,0.155,0.254,0.066
1998,0.186,0.56,0.122,0.14,0.128,0.194,0.436,0.118,0.174,0.088,0.15,0.35,0.093,0.166,0.037,0.228,0.417,0.085,0.232,0.076,0.178,0.413,0.16,0.227,0.064
1999,0.193,0.516,0.123,0.139,0.125,0.197,0.419,0.12,0.172,0.088,0.154,0.35,0.089,0.17,0.037,0.229,0.4,0.087,0.232,0.076,0.179,0.413,0.167,0.222,0.067
2000,0.193,0.516,0.129,0.136,0.123,0.194,0.412,0.121,0.17,0.085,0.151,0.35,0.087,0.171,0.037,0.216,0.378,0.086,0.227,0.076,0.177,0.413,0.169,0.218,0.058
2001,0.19,0.383,0.128,0.136,0.122,0.19,0.369,0.119,0.17,0.084,0.148,0.35,0.093,0.177,0.038,0.209,0.364,0.088,0.224,0.076,0.173,0.403,0.159,0.218,0.059
2002,0.191,0.383,0.126,0.135,0.122,0.191,0.363,0.118,0.17,0.084,0.147,0.35,0.097,0.178,0.038,0.209,0.354,0.082,0.224,0.076,0.173,0.403,0.156,0.218,0.059
2003,0.192,0.396,0.123,0.138,0.124,0.19,0.36,0.115,0.172,0.084,0.151,0.35,0.092,0.181,0.038,0.207,0.354,0.083,0.226,0.077,0.168,0.383,0.15,0.221,0.057
2004,0.187,0.383,0.11,0.136,0.122,0.19,0.352,0.11,0.171,0.084,0.155,0.35,0.088,0.181,0.038,0.208,0.354,0.08,0.226,0.076,0.171,0.373,0.145,0.222,0.057
2005,0.185,0.384,0.109,0.134,0.123,0.191,0.345,0.11,0.17,0.083,0.159,0.35,0.094,0.183,0.038,0.207,0.35,0.082,0.228,0.077,0.171,0.373,0.144,0.218,0.056
2006,0.187,0.384,0.118,0.132,0.124,0.192,0.342,0.115,0.169,0.084,0.157,0.35,0.099,0.184,0.039,0.205,0.344,0.084,0.229,0.078,0.175,0.373,0.149,0.212,0.055
2007,0.201,0.384,0.123,0.13,0.122,0.194,0.334,0.118,0.17,0.083,0.151,0.325,0.107,0.183,0.039,0.201,0.344,0.083,0.229,0.077,0.174,0.373,0.154,0.223,0.058
2008,0.202,0.294,0.131,0.128,0.12,0.188,0.3,0.12,0.169,0.083,0.129,0.3,0.1,0.176,0.037,0.197,0.344,0.085,0.229,0.076,0.167,0.314,0.16,0.221,0.059
2009,0.202,0.294,0.127,0.127,0.118,0.183,0.3,0.116,0.169,0.081,0.108,0.3,0.094,0.171,0.037,0.194,0.344,0.081,0.231,0.075,0.166,0.314,0.154,0.225,0.06
2010,0.199,0.295,0.118,0.128,0.118,0.189,0.298,0.114,0.17,0.084,0.137,0.3,0.1,0.17,0.037,0.196,0.344,0.075,0.237,0.074,0.173,0.314,0.155,0.225,0.058
2011,0.203,0.296,0.119,0.127,0.12,0.192,0.3,0.116,0.171,0.085,0.132,0.3,0.104,0.172,0.039,0.202,0.361,0.078,0.241,0.075,0.175,0.314,0.153,0.223,0.058
2012,0.2,0.296,0.123,0.126,0.119,0.192,0.3,0.121,0.172,0.086,0.134,0.3,0.11,0.174,0.038,0.204,0.361,0.085,0.243,0.075,0.179,0.313,0.164,0.223,0.057
2013,0.204,0.296,0.127,0.126,0.119,0.196,0.306,0.123,0.172,0.087,0.149,0.3,0.112,0.176,0.036,0.206,0.38,0.086,0.246,0.078,0.177,0.313,0.164,0.222,0.062
2014,0.205,0.297,0.126,0.126,0.119,0.199,0.305,0.122,0.173,0.087,0.152,0.3,0.114,0.179,0.038,0.209,0.38,0.085,0.248,0.079,0.182,0.313,0.162,0.221,0.06
2015,0.207,0.298,0.126,0.126,0.119,0.201,0.302,0.123,0.172,0.088,0.159,0.28,0.106,0.179,0.038,0.213,0.38,0.085,0.247,0.08,0.18,0.313,0.166,0.22,0.061
2016,0.205,0.298,0.127,0.126,0.121,0.202,0.292,0.122,0.171,0.088,0.158,0.25,0.107,0.182,0.039,0.215,0.344,0.085,0.245,0.081,0.185,0.313,0.162,0.216,0.06
2017,0.205,0.299,0.131,0.126,0.122,0.203,0.305,0.124,0.171,0.088,0.157,0.25,0.109,0.186,0.039,0.219,0.444,0.085,0.244,0.082,0.184,0.278,0.162,0.215,0.06
2018,0.201,0.299,0.133,0.126,0.122,0.2,0.284,0.127,0.171,0.086,0.16,0.25,0.112,0.189,0.04,0.217,0.344,0.1,0.239,0.07,0.172,0.278,0.158,0.218,0.06
2019,0.201,NA,0,0.129,0.119,0.202,NA,0,0.17,0.085,0.16,NA,0,0.194,0.04,0.218,NA,0,0.227,0.068,0.174,NA,0,0.22,0.062
2020,0.195,NA,0,0.132,0.118,0.202,NA,0,0.17,0.085,0.166,NA,0,0.201,0.04,0.218,NA,0,0.227,0.068,0.171,NA,0,0.22,0.061
2021,0.214,NA,0,0.132,0.12,0.214,NA,0,0.17,0.085,0.173,NA,0,0.198,0.04,0.228,NA,0,0.227,0.068,0.185,NA,0,0.219,0.062
2022,0.21,NA,0,0.132,0.122,0.205,NA,0,0.169,0.086,0.166,NA,0,0.198,0.041,0.219,NA,0,0.224,0.068,0.172,NA,0,0.217,0.06
2023,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0
